time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/26/13:25:31.721285,182531.59375,42.3389167786,N,-71.0846710205,W,-0.416999995708,328268.250969,4689511.67099,19,T,5.0
2020/02/26/13:25:32.307633,182532.203125,42.3389167786,N,-71.0846710205,W,-0.513999998569,328268.211933,4689511.63102,19,T,5.0
2020/02/26/13:25:32.903732,182532.796875,42.3389167786,N,-71.0846710205,W,-0.611999988556,328268.173849,4689511.59066,19,T,5.0
2020/02/26/13:25:33.510659,182533.40625,42.3389167786,N,-71.0846710205,W,-0.689999997616,328268.140855,4689511.55054,19,T,5.0
2020/02/26/13:25:34.511400,182534.40625,42.3389167786,N,-71.0846710205,W,-0.78100001812,328268.101773,4689511.49187,19,T,5.0
2020/02/26/13:25:35.107518,182535.0,42.3389167786,N,-71.0846710205,W,-0.847999989986,328268.077874,4689511.46412,19,T,5.0
2020/02/26/13:25:35.707273,182535.59375,42.3389167786,N,-71.0846710205,W,-0.90499997139,328268.055199,4689511.43023,19,T,5.0
2020/02/26/13:25:36.309357,182536.203125,42.3389167786,N,-71.0846710205,W,-0.95300000906,328268.036001,4689511.40367,19,T,5.0
2020/02/26/13:25:36.907641,182536.796875,42.3389167786,N,-71.0846710205,W,-1.01499998569,328268.009082,4689511.376,19,T,5.0
2020/02/26/13:25:37.509506,182537.40625,42.3389167786,N,-71.0846710205,W,-1.07500004768,328267.984918,4689511.34863,19,T,5.0
2020/02/26/13:25:38.113324,182538.0,42.3389129639,N,-71.0846710205,W,-1.12300002575,328267.964609,4689511.31598,19,T,5.0
2020/02/26/13:25:38.709241,182538.59375,42.3389129639,N,-71.0846710205,W,-1.17900002003,328267.941584,4689511.29024,19,T,5.0
2020/02/26/13:25:39.311256,182539.203125,42.3389129639,N,-71.0846710205,W,-1.22500002384,328267.919109,4689511.2645,19,T,5.0
2020/02/26/13:25:39.913349,182539.796875,42.3389129639,N,-71.0846710205,W,-1.26600003242,328267.901187,4689511.23957,19,T,5.0
2020/02/26/13:25:40.509104,182540.40625,42.3389129639,N,-71.0846710205,W,-1.32000005245,328267.880711,4689511.21692,19,T,5.0
2020/02/26/13:25:41.111076,182541.0,42.3389129639,N,-71.0846710205,W,-1.35899996758,328267.86104,4689511.19352,19,T,5.0
2020/02/26/13:25:41.710484,182541.59375,42.3389129639,N,-71.0846710205,W,-1.40799999237,328267.841421,4689511.16659,19,T,5.0
2020/02/26/13:25:42.310623,182542.203125,42.3389129639,N,-71.0846710205,W,-1.44599997997,328267.825823,4689511.14679,19,T,5.0
2020/02/26/13:25:42.912623,182542.796875,42.3389129639,N,-71.0846710205,W,-1.48199999332,328267.809104,4689511.12609,19,T,5.0
2020/02/26/13:25:43.508466,182543.40625,42.3389129639,N,-71.0846710205,W,-1.51999998093,328267.794115,4689511.10312,19,T,5.0
2020/02/26/13:25:44.116019,182544.0,42.3389129639,N,-71.0846710205,W,-1.55400002003,328267.778275,4689511.08462,19,T,5.0
2020/02/26/13:25:44.708991,182544.59375,42.3389129639,N,-71.0846710205,W,-1.5720000267,328267.770269,4689511.0663,19,T,5.0
2020/02/26/13:25:45.311381,182545.203125,42.3389129639,N,-71.0846710205,W,-1.58800005913,328267.760805,4689511.0445,19,T,5.0
2020/02/26/13:25:45.910331,182545.796875,42.3389129639,N,-71.0846786499,W,-1.61500000954,328267.74929,4689511.02311,19,T,5.0
2020/02/26/13:25:46.510883,182546.40625,42.3389129639,N,-71.0846786499,W,-1.63399994373,328267.742372,4689511.00995,19,T,5.0
2020/02/26/13:25:47.109297,182547.0,42.3389129639,N,-71.0846786499,W,-1.64800000191,328267.737071,4689510.99545,19,T,5.0
2020/02/26/13:25:47.702946,182547.59375,42.3389129639,N,-71.0846786499,W,-1.66100001335,328267.727142,4689510.98273,19,T,5.0
2020/02/26/13:25:48.314935,182548.203125,42.3389129639,N,-71.0846786499,W,-1.6629999876,328267.72379,4689510.96929,19,T,5.0
2020/02/26/13:25:48.909715,182548.796875,42.3389129639,N,-71.0846786499,W,-1.66400003433,328267.721842,4689510.96267,19,T,5.0
2020/02/26/13:25:49.505163,182549.40625,42.3389129639,N,-71.0846786499,W,-1.65600001812,328267.721322,4689510.95269,19,T,5.0
2020/02/26/13:25:50.116990,182550.0,42.3389129639,N,-71.0846786499,W,-1.64800000191,328267.721191,4689510.94732,19,T,5.0
2020/02/26/13:25:50.705165,182550.59375,42.3389129639,N,-71.0846786499,W,-1.63600003719,328267.724364,4689510.94224,19,T,5.0
2020/02/26/13:25:51.305546,182551.203125,42.3389129639,N,-71.0846786499,W,-1.62699997425,328267.723898,4689510.93448,19,T,5.0
2020/02/26/13:25:51.904596,182551.796875,42.3389129639,N,-71.0846786499,W,-1.61000001431,328267.727771,4689510.92994,19,T,5.0
