time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/26/13:37:23.295905,183723.203125,42.3388023376,N,-71.0848007202,W,1.6210000515,328256.892978,4689499.24616,19,T,5.0
2020/02/26/13:37:23.889600,183723.796875,42.3388023376,N,-71.0848007202,W,1.74699997902,328257.041815,4689499.15288,19,T,5.0
2020/02/26/13:37:24.488847,183724.40625,42.3388023376,N,-71.0848007202,W,1.62199997902,328257.130715,4689498.99645,19,T,5.0
2020/02/26/13:37:25.088145,183725.0,42.3387985229,N,-71.0847930908,W,1.44200003147,328257.391427,4689498.68635,19,T,5.0
2020/02/26/13:37:25.691199,183725.59375,42.3387947083,N,-71.0847930908,W,1.30099999905,328257.807,4689498.15321,19,T,5.0
2020/02/26/13:37:26.297755,183726.203125,42.3387908936,N,-71.0847854614,W,1.20299994946,328258.322749,4689497.59854,19,T,5.0
2020/02/26/13:37:26.889863,183726.796875,42.3387832642,N,-71.084777832,W,1.11199998856,328258.944325,4689497.06794,19,T,5.0
2020/02/26/13:37:27.498109,183727.40625,42.3387794495,N,-71.0847702026,W,1.13900005817,328259.622834,4689496.52835,19,T,5.0
2020/02/26/13:37:28.094643,183728.0,42.3387756348,N,-71.0847625732,W,1.0759999752,328260.295696,4689495.9826,19,T,5.0
2020/02/26/13:37:28.694428,183728.59375,42.3387680054,N,-71.0847549438,W,1.00199997425,328260.879076,4689495.40701,19,T,5.0
2020/02/26/13:37:29.295047,183729.203125,42.3387641907,N,-71.0847473145,W,0.955999970436,328261.509397,4689494.86324,19,T,5.0
2020/02/26/13:37:29.895989,183729.796875,42.338760376,N,-71.0847396851,W,0.888999998569,328262.035558,4689494.26813,19,T,5.0
2020/02/26/13:37:30.498596,183730.40625,42.3387565613,N,-71.0847320557,W,0.772000014782,328262.489999,4689493.7681,19,T,5.0
2020/02/26/13:37:31.130113,183731.0,42.3387489319,N,-71.0847244263,W,0.56099998951,328263.342714,4689493.0548,19,T,4.0
2020/02/26/13:37:31.715743,183731.59375,42.3387451172,N,-71.0847167969,W,0.514999985695,328263.999071,4689492.51946,19,T,4.0
2020/02/26/13:37:33.122692,183733.0,42.3387336731,N,-71.0846939087,W,0.566999971867,328265.42753,4689491.11521,19,T,4.0
2020/02/26/13:37:33.695520,183733.59375,42.3387260437,N,-71.0846939087,W,0.528999984264,328265.986937,4689490.54243,19,T,4.0
2020/02/26/13:37:34.303744,183734.203125,42.3387260437,N,-71.0846862793,W,0.486000001431,328266.428819,4689490.38752,19,T,5.0
