time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/25/17:13:13.074271,221314.40625,42.3371505737,N,-71.0868835449,W,10.375,328081.042507,4689319.96622,19,T,5.0
2020/02/25/17:13:13.279663,221314.59375,42.3371505737,N,-71.0868835449,W,10.3839998245,328081.052315,4689319.9908,19,T,5.0
2020/02/25/17:13:13.475295,221314.796875,42.3371505737,N,-71.0868835449,W,10.3780002594,328081.069986,4689320.01666,19,T,5.0
2020/02/25/17:13:13.698431,221315.0,42.3371505737,N,-71.0868835449,W,10.3879995346,328081.079749,4689320.03938,19,T,5.0
2020/02/25/17:13:13.887575,221315.203125,42.3371505737,N,-71.0868835449,W,10.3990001678,328081.093421,4689320.05905,19,T,5.0
2020/02/25/17:13:14.081556,221315.40625,42.3371505737,N,-71.0868835449,W,10.4040002823,328081.11264,4689320.0808,19,T,5.0
2020/02/25/17:13:14.285652,221315.59375,42.3371505737,N,-71.0868835449,W,10.4200000763,328081.120485,4689320.10375,19,T,5.0
2020/02/25/17:13:14.477652,221315.796875,42.3371543884,N,-71.0868835449,W,10.4239997864,328081.123622,4689320.1196,19,T,5.0
2020/02/25/17:13:14.694158,221316.0,42.3371543884,N,-71.0868835449,W,10.4280004501,328081.100747,4689320.11683,19,T,5.0
2020/02/25/17:13:14.878053,221316.203125,42.3371505737,N,-71.0868835449,W,10.4340000153,328081.082804,4689320.10227,19,T,5.0
2020/02/25/17:13:15.074316,221316.40625,42.3371505737,N,-71.0868835449,W,10.4270000458,328081.049836,4689320.05771,19,T,5.0
2020/02/25/17:13:15.694541,221317.0,42.3371505737,N,-71.0868835449,W,10.4390001297,328080.750018,4689319.866,19,T,5.0
2020/02/25/17:13:17.279104,221318.59375,42.3371429443,N,-71.0868988037,W,10.5799999237,328079.556537,4689318.87604,19,T,5.0
2020/02/25/17:13:17.881799,221319.203125,42.3371353149,N,-71.0869064331,W,10.5830001831,328079.047122,4689318.43485,19,T,5.0
2020/02/25/17:13:18.475109,221319.796875,42.3371315002,N,-71.0869140625,W,10.6129999161,328078.497429,4689317.99835,19,T,5.0
2020/02/25/17:13:19.085606,221320.40625,42.3371276855,N,-71.0869216919,W,10.6420001984,328077.968344,4689317.52819,19,T,5.0
2020/02/25/17:13:19.280028,221320.59375,42.3371276855,N,-71.0869216919,W,10.6059999466,328077.777655,4689317.37176,19,T,5.0
2020/02/25/17:13:19.471439,221320.796875,42.3371238708,N,-71.0869216919,W,10.6639995575,328077.571837,4689317.20348,19,T,5.0
2020/02/25/17:13:19.676007,221321.0,42.3371238708,N,-71.0869293213,W,10.6990003586,328077.401323,4689317.0686,19,T,5.0
2020/02/25/17:13:19.885616,221321.203125,42.3371238708,N,-71.0869293213,W,10.6829996109,328077.222145,4689316.91096,19,T,5.0
2020/02/25/17:13:20.073957,221321.40625,42.3371200562,N,-71.0869293213,W,10.6669998169,328077.020322,4689316.74869,19,T,5.0
2020/02/25/17:13:20.281336,221321.59375,42.3371200562,N,-71.0869293213,W,10.6850004196,328076.847746,4689316.60256,19,T,5.0
2020/02/25/17:13:20.486017,221321.796875,42.3371200562,N,-71.0869369507,W,10.6599998474,328076.66419,4689316.43448,19,T,5.0
2020/02/25/17:13:30.078668,221331.40625,42.3370399475,N,-71.087059021,W,10.9910001755,328066.433927,4689308.11829,19,T,5.0
2020/02/25/17:13:30.690886,221332.0,42.3370361328,N,-71.0870666504,W,10.9420003891,328065.84834,4689307.56842,19,T,5.0
2020/02/25/17:13:30.886639,221332.203125,42.3370361328,N,-71.0870666504,W,10.9630002975,328065.62398,4689307.40041,19,T,5.0
2020/02/25/17:13:34.483120,221335.796875,42.3370056152,N,-71.0871124268,W,10.9930000305,328061.545163,4689304.06483,19,T,5.0
2020/02/25/17:13:35.088619,221336.40625,42.3369979858,N,-71.0871200562,W,11.0050001144,328060.857228,4689303.5545,19,T,5.0
2020/02/25/17:13:35.682910,221337.0,42.3369941711,N,-71.0871276855,W,10.767999649,328060.230045,4689303.00602,19,T,5.0
2020/02/25/17:13:36.278455,221337.59375,42.3369903564,N,-71.0871353149,W,10.7840003967,328059.52769,4689302.43438,19,T,5.0
2020/02/25/17:13:36.882514,221338.203125,42.3369827271,N,-71.0871505737,W,10.8249998093,328058.775436,4689301.85044,19,T,5.0
2020/02/25/17:13:37.482116,221338.796875,42.3369789124,N,-71.0871582031,W,10.795999527,328058.085619,4689301.24665,19,T,5.0
2020/02/25/17:13:38.083219,221339.40625,42.336971283,N,-71.0871658325,W,10.8210000992,328057.355486,4689300.67958,19,T,5.0
2020/02/25/17:13:38.876479,221340.203125,42.3369636536,N,-71.0871734619,W,10.7469997406,328056.433955,4689299.94406,19,T,5.0
2020/02/25/17:13:39.677711,221341.0,42.3369598389,N,-71.0871887207,W,10.6680002213,328055.510488,4689299.16322,19,T,5.0
2020/02/25/17:13:41.274674,221342.59375,42.3369445801,N,-71.0872116089,W,10.5620002747,328053.665022,4689297.57743,19,T,5.0
2020/02/25/17:13:41.865551,221343.203125,42.3369369507,N,-71.0872192383,W,10.5410003662,328052.962859,4689297.00246,19,T,5.0
2020/02/25/17:13:42.463792,221343.796875,42.336933136,N,-71.0872268677,W,10.5150003433,328052.272165,4689296.45812,19,T,5.0
2020/02/25/17:13:43.069497,221344.40625,42.3369293213,N,-71.0872344971,W,10.5349998474,328051.581959,4689295.89452,19,T,5.0
2020/02/25/17:13:43.670197,221345.0,42.3369216919,N,-71.0872421265,W,10.5410003662,328050.882848,4689295.29835,19,T,5.0
2020/02/25/17:13:44.275438,221345.59375,42.3369178772,N,-71.0872497559,W,10.5220003128,328050.21229,4689294.71242,19,T,5.0
2020/02/25/17:13:44.874020,221346.203125,42.3369102478,N,-71.0872573853,W,10.5,328049.545735,4689294.13842,19,T,5.0
2020/02/25/17:13:45.466092,221346.796875,42.3369064331,N,-71.0872650146,W,10.4589996338,328048.861439,4689293.56374,19,T,5.0
2020/02/25/17:13:46.068549,221347.40625,42.3369026184,N,-71.087272644,W,10.3940000534,328048.212478,4689293.03487,19,T,5.0
2020/02/25/17:13:46.677374,221348.0,42.336894989,N,-71.0872802734,W,10.3900003433,328047.533504,4689292.49228,19,T,5.0
2020/02/25/17:13:47.270803,221348.59375,42.3368911743,N,-71.0872879028,W,10.3579998016,328046.852734,4689292.01085,19,T,5.0
2020/02/25/17:13:47.871135,221349.203125,42.3368873596,N,-71.0872955322,W,10.4379997253,328046.207489,4689291.50466,19,T,5.0
2020/02/25/17:13:48.493161,221349.796875,42.3368835449,N,-71.0873031616,W,10.295999527,328045.561323,4689291.00572,19,T,5.0
2020/02/25/17:13:49.878632,221351.203125,42.3368721008,N,-71.0873260498,W,10.1459999084,328044.059278,4689289.78168,19,T,5.0
2020/02/25/17:13:50.071675,221351.40625,42.3368721008,N,-71.0873260498,W,10.0880002975,328043.893707,4689289.66353,19,T,5.0
2020/02/25/17:13:50.275006,221351.59375,42.3368682861,N,-71.0873260498,W,10.0670003891,328043.541826,4689289.48902,19,T,4.0
2020/02/25/17:13:51.079214,221352.40625,42.3368606567,N,-71.0873336792,W,10.0030002594,328042.853307,4689288.83186,19,T,5.0
2020/02/25/17:13:52.675626,221354.0,42.3368492126,N,-71.0873565674,W,9.96599960327,328041.120347,4689287.43034,19,T,5.0
2020/02/25/17:13:52.878246,221354.203125,42.3368492126,N,-71.0873565674,W,10.0080003738,328040.895054,4689287.28032,19,T,5.0
2020/02/25/17:13:53.677898,221355.0,42.3368415833,N,-71.0873718262,W,9.93000030518,328040.047288,4689286.58355,19,T,5.0
2020/02/25/17:13:54.284852,221355.59375,42.3368377686,N,-71.0873794556,W,9.98999977112,328039.379645,4689286.01569,19,T,5.0
2020/02/25/17:13:54.879255,221356.203125,42.3368301392,N,-71.087387085,W,10.0,328038.717337,4689285.48603,19,T,5.0
2020/02/25/17:13:55.480779,221356.796875,42.3368263245,N,-71.0873947144,W,9.98299980164,328038.020984,4689284.96313,19,T,5.0
2020/02/25/17:13:56.073441,221357.40625,42.3368225098,N,-71.0874023438,W,9.91800022125,328037.317692,4689284.39263,19,T,5.0
2020/02/25/17:13:56.875397,221358.203125,42.3368148804,N,-71.0874176025,W,10.1890001297,328036.315524,4689283.71928,19,T,5.0
2020/02/25/17:13:57.477771,221358.796875,42.3368110657,N,-71.0874252319,W,9.99300003052,328035.705909,4689283.20944,19,T,5.0
2020/02/25/17:13:58.076587,221359.40625,42.336807251,N,-71.0874328613,W,9.93200016022,328035.064146,4689282.7052,19,T,5.0
2020/02/25/17:14:00.689916,221402.0,42.3367843628,N,-71.0874633789,W,9.78299999237,328032.107221,4689280.51097,19,T,5.0
2020/02/25/17:14:01.281335,221402.59375,42.3367805481,N,-71.0874710083,W,9.81900024414,328031.418638,4689279.96326,19,T,5.0
2020/02/25/17:14:01.880135,221403.203125,42.3367767334,N,-71.0874786377,W,9.83699989319,328030.758087,4689279.42689,19,T,5.0
2020/02/25/17:14:02.477360,221403.796875,42.336769104,N,-71.0874862671,W,9.71800041199,328030.101336,4689278.91098,19,T,5.0
2020/02/25/17:14:02.680698,221404.0,42.336769104,N,-71.0874938965,W,9.73400020599,328029.895617,4689278.73566,19,T,5.0
2020/02/25/17:14:04.874857,221406.203125,42.3367500305,N,-71.0875244141,W,9.93400001526,328027.323285,4689276.80607,19,T,5.0
2020/02/25/17:14:05.472284,221406.796875,42.3367462158,N,-71.0875320435,W,9.88399982452,328026.668776,4689276.2864,19,T,5.0
2020/02/25/17:14:06.073982,221407.40625,42.3367424011,N,-71.0875396729,W,10.1020002365,328025.937394,4689275.78622,19,T,5.0
2020/02/25/17:14:07.671085,221409.0,42.3367271423,N,-71.087562561,W,9.89400005341,328024.061803,4689274.38414,19,T,5.0
2020/02/25/17:14:07.872701,221409.203125,42.3367271423,N,-71.087562561,W,9.92599964142,328023.811674,4689274.23547,19,T,5.0
2020/02/25/17:14:08.075972,221409.40625,42.3367271423,N,-71.0875701904,W,9.90299987793,328023.578599,4689274.08749,19,T,5.0
2020/02/25/17:14:08.274256,221409.59375,42.3367233276,N,-71.0875701904,W,9.95899963379,328023.329477,4689273.91268,19,T,5.0
2020/02/25/17:14:08.475945,221409.796875,42.3367233276,N,-71.0875701904,W,9.97299957275,328023.11183,4689273.69358,19,T,5.0
2020/02/25/17:14:09.087321,221410.40625,42.3367156982,N,-71.0875778198,W,10.0480003357,328022.370258,4689273.15328,19,T,5.0
2020/02/25/17:14:09.280694,221410.59375,42.3367156982,N,-71.0875854492,W,9.95100021362,328022.287493,4689273.18457,19,T,4.0
2020/02/25/17:14:09.880358,221411.203125,42.3367118835,N,-71.0875930786,W,9.99300003052,328021.461152,4689272.41487,19,T,5.0
2020/02/25/17:14:10.697755,221412.0,42.3367042542,N,-71.087600708,W,10.0310001373,328020.519717,4689271.71392,19,T,5.0
2020/02/25/17:14:11.277700,221412.59375,42.3367004395,N,-71.0876083374,W,10.0129995346,328019.791052,4689271.1957,19,T,5.0
2020/02/25/17:14:11.875828,221413.203125,42.3366966248,N,-71.0876159668,W,9.9139995575,328019.221168,4689270.81007,19,T,4.0
2020/02/25/17:14:12.473781,221413.796875,42.3366889954,N,-71.0876312256,W,10.0579996109,328018.299472,4689270.03456,19,T,5.0
