time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/26/13:02:35.074497,180235.0,42.3371276855,N,-71.0868377686,W,1.08299994469,328084.955942,4689317.10097,19,T,5.0
2020/02/26/13:02:35.483085,180235.40625,42.3371315002,N,-71.0868377686,W,1.36800003052,328085.013426,4689317.6127,19,T,5.0
2020/02/26/13:02:36.081966,180236.0,42.3371353149,N,-71.0868301392,W,1.54700005054,328085.304991,4689318.02794,19,T,5.0
2020/02/26/13:02:37.288160,180237.203125,42.3371429443,N,-71.0868148804,W,1.78199994564,328086.540324,4689318.93743,19,T,5.0
2020/02/26/13:02:38.294661,180238.203125,42.3371505737,N,-71.0867996216,W,1.98800003529,328087.76629,4689319.76196,19,T,5.0
2020/02/26/13:02:39.084779,180239.0,42.3371582031,N,-71.0867919922,W,2.16499996185,328088.770587,4689320.4273,19,T,5.0
2020/02/26/13:02:39.683867,180239.59375,42.3371620178,N,-71.0867843628,W,2.27600002289,328089.456803,4689321.00212,19,T,5.0
2020/02/26/13:02:40.291055,180240.203125,42.3371658325,N,-71.086769104,W,2.35199999809,328090.18002,4689321.5451,19,T,5.0
2020/02/26/13:02:42.284213,180242.203125,42.3371810913,N,-71.0867385864,W,2.19899988174,328092.778471,4689322.97279,19,T,5.0
2020/02/26/13:02:42.568615,180242.40625,42.3371810913,N,-71.0867385864,W,2.2539999485,328093.011809,4689323.12039,19,T,5.0
2020/02/26/13:02:42.682722,180242.59375,42.337184906,N,-71.0867385864,W,2.22099995613,328093.272793,4689323.25806,19,T,5.0
2020/02/26/13:02:43.284047,180243.203125,42.3371887207,N,-71.0867233276,W,2.08100008965,328094.039162,4689323.69517,19,T,5.0
2020/02/26/13:02:43.888270,180243.796875,42.3371925354,N,-71.0867156982,W,2.03999996185,328094.824483,4689324.13756,19,T,5.0
2020/02/26/13:02:44.292986,180244.203125,42.3371963501,N,-71.0867080688,W,1.95700001717,328095.35101,4689324.45315,19,T,5.0
2020/02/26/13:02:44.690101,180244.59375,42.3371963501,N,-71.0867080688,W,1.9620000124,328095.864324,4689324.74537,19,T,5.0
2020/02/26/13:02:45.289477,180245.203125,42.3372001648,N,-71.0866928101,W,1.85699999332,328096.653668,4689325.16136,19,T,5.0
2020/02/26/13:02:45.685573,180245.59375,42.3372039795,N,-71.0866851807,W,1.71700000763,328097.279514,4689325.49877,19,T,5.0
2020/02/26/13:02:46.094618,180246.0,42.3372077942,N,-71.0866775513,W,1.77300000191,328097.831643,4689325.79948,19,T,5.0
2020/02/26/13:02:46.693650,180246.59375,42.3372116089,N,-71.0866699219,W,1.81700003147,328098.550192,4689326.35943,19,T,4.0
