time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/25/16:32:14.753398,213216.203125,42.337272644,N,-71.0869750977,W,0.601000010967,328073.828934,4689333.52192,19,T,5.0
2020/02/25/16:32:14.947225,213216.40625,42.337272644,N,-71.0869750977,W,0.601999998093,328073.828138,4689333.52305,19,T,5.0
2020/02/25/16:32:15.148475,213216.59375,42.337272644,N,-71.0869750977,W,0.601999998093,328073.827035,4689333.5229,19,T,5.0
2020/02/25/16:32:15.348455,213216.796875,42.337272644,N,-71.0869750977,W,0.597999989986,328073.827397,4689333.52085,19,T,5.0
2020/02/25/16:32:15.549755,213217.0,42.337272644,N,-71.0869750977,W,0.596000015736,328073.826751,4689333.52253,19,T,5.0
2020/02/25/16:32:15.751908,213217.203125,42.337272644,N,-71.0869750977,W,0.59500002861,328073.828115,4689333.52213,19,T,5.0
2020/02/25/16:32:15.954533,213217.40625,42.337272644,N,-71.0869750977,W,0.592999994755,328073.826728,4689333.52161,19,T,5.0
2020/02/25/16:32:16.148146,213217.59375,42.337272644,N,-71.0869750977,W,0.59500002861,328073.824495,4689333.52018,19,T,5.0
2020/02/25/16:32:16.345611,213217.796875,42.337272644,N,-71.0869750977,W,0.592000007629,328073.82671,4689333.52087,19,T,5.0
2020/02/25/16:32:16.555162,213218.0,42.337272644,N,-71.0869750977,W,0.589999973774,328073.832642,4689333.52183,19,T,5.0
2020/02/25/16:32:16.744650,213218.203125,42.337272644,N,-71.0869750977,W,0.589999973774,328073.830857,4689333.52188,19,T,5.0
2020/02/25/16:32:16.943739,213218.40625,42.337272644,N,-71.0869750977,W,0.592000007629,328073.827072,4689333.51882,19,T,5.0
2020/02/25/16:32:17.145455,213218.59375,42.337272644,N,-71.0869750977,W,0.597000002861,328073.83288,4689333.52035,19,T,5.0
2020/02/25/16:32:17.346755,213218.796875,42.337272644,N,-71.0869750977,W,0.596000015736,328073.830569,4689333.52133,19,T,5.0
2020/02/25/16:32:17.547228,213219.0,42.337272644,N,-71.0869750977,W,0.597999989986,328073.831255,4689333.52131,19,T,5.0
2020/02/25/16:32:17.747460,213219.203125,42.337272644,N,-71.0869750977,W,0.600000023842,328073.829864,4689333.5206,19,T,5.0
2020/02/25/16:32:17.950345,213219.40625,42.337272644,N,-71.0869750977,W,0.606000006199,328073.827434,4689333.51678,19,T,5.0
2020/02/25/16:32:18.152918,213219.59375,42.337272644,N,-71.0869750977,W,0.59399998188,328073.826555,4689333.52013,19,T,5.0
2020/02/25/16:32:18.346392,213219.796875,42.337272644,N,-71.0869750977,W,0.592000007629,328073.826939,4689333.51901,19,T,5.0
2020/02/25/16:32:18.550501,213220.0,42.337272644,N,-71.0869750977,W,0.584999978542,328073.830555,4689333.52077,19,T,5.0
2020/02/25/16:32:18.745758,213220.203125,42.337272644,N,-71.0869750977,W,0.601000010967,328073.832949,4689333.51757,19,T,5.0
2020/02/25/16:32:18.946499,213220.40625,42.337272644,N,-71.0869750977,W,0.601000010967,328073.828922,4689333.51581,19,T,5.0
2020/02/25/16:32:19.144438,213220.59375,42.337272644,N,-71.0869750977,W,0.600000023842,328073.830084,4689333.51838,19,T,5.0
2020/02/25/16:32:19.350965,213220.796875,42.337272644,N,-71.0869750977,W,0.592999994755,328073.832803,4689333.5172,19,T,5.0
2020/02/25/16:32:19.543808,213221.0,42.337272644,N,-71.0869750977,W,0.591000020504,328073.832688,4689333.51813,19,T,5.0
2020/02/25/16:32:19.740937,213221.203125,42.337272644,N,-71.0869750977,W,0.587999999523,328073.834647,4689333.51956,19,T,5.0
2020/02/25/16:32:19.946635,213221.40625,42.337272644,N,-71.0869750977,W,0.592999994755,328073.832958,4689333.51794,19,T,5.0
2020/02/25/16:32:20.145747,213221.59375,42.337272644,N,-71.0869750977,W,0.59500002861,328073.834546,4689333.52105,19,T,5.0
2020/02/25/16:32:20.349614,213221.796875,42.337272644,N,-71.0869750977,W,0.591000020504,328073.832089,4689333.51611,19,T,5.0
2020/02/25/16:32:20.556808,213222.0,42.337272644,N,-71.0869750977,W,0.591000020504,328073.831823,4689333.51648,19,T,5.0
2020/02/25/16:32:20.760173,213222.203125,42.337272644,N,-71.0869750977,W,0.587999999523,328073.833471,4689333.51644,19,T,5.0
2020/02/25/16:32:20.953256,213222.40625,42.337272644,N,-71.0869750977,W,0.584999978542,328073.8331,4689333.51812,19,T,5.0
2020/02/25/16:32:21.146467,213222.59375,42.337272644,N,-71.0869750977,W,0.592999994755,328073.829604,4689333.51561,19,T,5.0
2020/02/25/16:32:21.351135,213222.796875,42.337272644,N,-71.0869750977,W,0.588999986649,328073.832267,4689333.51777,19,T,5.0
2020/02/25/16:32:21.553805,213223.0,42.337272644,N,-71.0869750977,W,0.579999983311,328073.834075,4689333.51865,19,T,5.0
2020/02/25/16:32:21.741615,213223.203125,42.337272644,N,-71.0869750977,W,0.586000025272,328073.832254,4689333.51721,19,T,5.0
2020/02/25/16:32:21.948568,213223.40625,42.337272644,N,-71.0869750977,W,0.568000018597,328073.830994,4689333.52187,19,T,5.0
2020/02/25/16:32:22.148741,213223.59375,42.337272644,N,-71.0869750977,W,0.566999971867,328073.832353,4689333.52128,19,T,5.0
2020/02/25/16:32:22.352576,213223.796875,42.337272644,N,-71.0869750977,W,0.573000013828,328073.828913,4689333.51544,19,T,5.0
2020/02/25/16:32:22.556858,213224.0,42.337272644,N,-71.0869750977,W,0.572000026703,328073.830272,4689333.51485,19,T,5.0
2020/02/25/16:32:22.747286,213224.203125,42.337272644,N,-71.0869750977,W,0.574000000954,328073.829206,4689333.51618,19,T,5.0
2020/02/25/16:32:22.950210,213224.40625,42.337272644,N,-71.0869750977,W,0.573000013828,328073.830478,4689333.51763,19,T,5.0
2020/02/25/16:32:23.150200,213224.59375,42.337272644,N,-71.0869750977,W,0.579999983311,328073.834016,4689333.51624,19,T,5.0
2020/02/25/16:32:23.353501,213224.796875,42.337272644,N,-71.0869750977,W,0.589999973774,328073.833636,4689333.51755,19,T,5.0
2020/02/25/16:32:23.556156,213225.0,42.337272644,N,-71.0869750977,W,0.596000015736,328073.832131,4689333.51222,19,T,5.0
2020/02/25/16:32:23.747946,213225.203125,42.337272644,N,-71.0869750977,W,0.586000025272,328073.831307,4689333.51224,19,T,5.0
2020/02/25/16:32:23.951790,213225.40625,42.337272644,N,-71.0869750977,W,0.584999978542,328073.831032,4689333.51224,19,T,5.0
2020/02/25/16:32:24.141132,213225.59375,42.337272644,N,-71.0869750977,W,0.587000012398,328073.831206,4689333.51372,19,T,5.0
2020/02/25/16:32:24.343643,213225.796875,42.337272644,N,-71.0869750977,W,0.56400001049,328073.829947,4689333.51838,19,T,4.0
2020/02/25/16:32:24.556532,213226.0,42.337272644,N,-71.0869750977,W,0.555999994278,328073.828601,4689333.51952,19,T,4.0
2020/02/25/16:32:24.753810,213226.203125,42.337272644,N,-71.0869750977,W,0.568000018597,328073.827274,4689333.51585,19,T,4.0
2020/02/25/16:32:24.939719,213226.40625,42.337272644,N,-71.0869750977,W,0.552999973297,328073.832074,4689333.52111,19,T,4.0
2020/02/25/16:32:25.146348,213226.59375,42.337272644,N,-71.0869750977,W,0.564999997616,328073.828386,4689333.51638,19,T,4.0
2020/02/25/16:32:25.347884,213226.796875,42.337272644,N,-71.0869750977,W,0.564999997616,328073.829658,4689333.51783,19,T,4.0
2020/02/25/16:32:25.548344,213227.0,42.337272644,N,-71.0869750977,W,0.575999975204,328073.823467,4689333.51187,19,T,4.0
2020/02/25/16:32:25.751092,213227.203125,42.337272644,N,-71.0869750977,W,0.569000005722,328073.826661,4689333.51328,19,T,4.0
2020/02/25/16:32:25.957075,213227.40625,42.337272644,N,-71.0869750977,W,0.586000025272,328073.829756,4689333.51061,19,T,4.0
2020/02/25/16:32:26.156116,213227.59375,42.337272644,N,-71.0869750977,W,0.57800000906,328073.828241,4689333.51046,19,T,4.0
2020/02/25/16:32:26.354061,213227.796875,42.337272644,N,-71.0869750977,W,0.582000017166,328073.83122,4689333.51428,19,T,4.0
2020/02/25/16:32:26.546360,213228.0,42.337272644,N,-71.0869750977,W,0.582000017166,328073.83203,4689333.5137,19,T,4.0
2020/02/25/16:32:26.756152,213228.203125,42.337272644,N,-71.0869750977,W,0.584999978542,328073.830616,4689333.51207,19,T,4.0
2020/02/25/16:32:26.954241,213228.40625,42.337272644,N,-71.0869750977,W,0.583000004292,328073.827518,4689333.509,19,T,4.0
2020/02/25/16:32:27.150579,213228.59375,42.337272644,N,-71.0869750977,W,0.588999986649,328073.828529,4689333.51101,19,T,4.0
2020/02/25/16:32:27.350890,213228.796875,42.337272644,N,-71.0869750977,W,0.583999991417,328073.829504,4689333.51154,19,T,4.0
2020/02/25/16:32:27.556808,213229.0,42.337272644,N,-71.0869750977,W,0.584999978542,328073.835271,4689333.5114,19,T,4.0
2020/02/25/16:32:27.755251,213229.203125,42.337272644,N,-71.0869750977,W,0.598999977112,328073.827889,4689333.50732,19,T,4.0
2020/02/25/16:32:27.957098,213229.40625,42.337272644,N,-71.0869750977,W,0.588999986649,328073.830539,4689333.50892,19,T,4.0
2020/02/25/16:32:28.155333,213229.59375,42.337272644,N,-71.0869750977,W,0.587999999523,328073.83236,4689333.51036,19,T,4.0
2020/02/25/16:32:28.355942,213229.796875,42.337272644,N,-71.0869750977,W,0.584999978542,328073.829692,4689333.50802,19,T,4.0
2020/02/25/16:32:28.557117,213230.0,42.337272644,N,-71.0869750977,W,0.583000004292,328073.830154,4689333.51004,19,T,4.0
2020/02/25/16:32:28.753748,213230.203125,42.337272644,N,-71.0869750977,W,0.588999986649,328073.827921,4689333.50862,19,T,4.0
2020/02/25/16:32:28.953702,213230.40625,42.337272644,N,-71.0869750977,W,0.583000004292,328073.827358,4689333.50807,19,T,4.0
2020/02/25/16:32:29.145913,213230.59375,42.337272644,N,-71.0869750977,W,0.580999970436,328073.827532,4689333.50955,19,T,4.0
2020/02/25/16:32:29.347072,213230.796875,42.337272644,N,-71.0869750977,W,0.587000012398,328073.828191,4689333.50842,19,T,4.0
2020/02/25/16:32:29.554200,213231.0,42.337272644,N,-71.0869750977,W,0.601000010967,328073.830662,4689333.50836,19,T,4.0
2020/02/25/16:32:29.744477,213231.203125,42.337272644,N,-71.0869750977,W,0.584999978542,328073.82701,4689333.51068,19,T,4.0
2020/02/25/16:32:29.948115,213231.40625,42.337272644,N,-71.0869750977,W,0.584999978542,328073.83117,4689333.51224,19,T,4.0
2020/02/25/16:32:30.149876,213231.59375,42.337272644,N,-71.0869750977,W,0.592999994755,328073.832131,4689333.51222,19,T,4.0
2020/02/25/16:32:30.352611,213231.796875,42.337272644,N,-71.0869750977,W,0.597000002861,328073.830649,4689333.50781,19,T,4.0
2020/02/25/16:32:30.553572,213232.0,42.337272644,N,-71.0869750977,W,0.592999994755,328073.83247,4689333.50924,19,T,4.0
2020/02/25/16:32:30.743417,213232.203125,42.337272644,N,-71.0869750977,W,0.591000020504,328073.832864,4689333.50849,19,T,4.0
2020/02/25/16:32:30.943468,213232.40625,42.337272644,N,-71.0869750977,W,0.59399998188,328073.829299,4689333.50877,19,T,4.0
2020/02/25/16:32:31.147938,213232.59375,42.337272644,N,-71.0869750977,W,0.554000020027,328073.829512,4689333.51747,19,T,4.0
2020/02/25/16:32:31.350354,213232.796875,42.337272644,N,-71.0869750977,W,0.554000020027,328073.827329,4689333.51807,19,T,4.0
2020/02/25/16:32:31.541172,213233.0,42.337272644,N,-71.0869750977,W,0.560000002384,328073.826396,4689333.51365,19,T,4.0
2020/02/25/16:32:31.742039,213233.203125,42.337272644,N,-71.0869750977,W,0.555999994278,328073.824867,4689333.51295,19,T,4.0
