time,.timestamp,.latitude,.lat_dir,.longitude,.long_dir,.altitude,.utmeasting,.utmnorthing,.zone,.letter,.fix_quality
2020/02/26/12:46:01.297794,174601.203125,42.3372840881,N,-71.0869522095,W,-0.0439999997616,328075.961334,4689334.69105,19,T,5.0
2020/02/26/12:46:01.892583,174601.796875,42.3372840881,N,-71.0869522095,W,-0.0280000008643,328075.97144,4689334.73895,19,T,5.0
2020/02/26/12:46:02.491021,174602.40625,42.3372840881,N,-71.0869522095,W,-0.00999999977648,328075.984672,4689334.78548,19,T,5.0
2020/02/26/12:46:04.894840,174604.796875,42.3372840881,N,-71.0869445801,W,0.0189999993891,328076.034741,4689334.94462,19,T,5.0
2020/02/26/12:46:05.499017,174605.40625,42.3372840881,N,-71.0869445801,W,0.0130000002682,328076.048122,4689334.97484,19,T,5.0
2020/02/26/12:46:06.694714,174606.59375,42.3372840881,N,-71.0869445801,W,0.019999999553,328076.079638,4689335.0274,19,T,5.0
2020/02/26/12:46:07.292120,174607.203125,42.3372840881,N,-71.0869445801,W,0.0209999997169,328076.089355,4689335.04827,19,T,5.0
2020/02/26/12:46:08.097071,174608.0,42.3372879028,N,-71.0869445801,W,0.00999999977648,328076.113879,4689335.06786,19,T,5.0
2020/02/26/12:46:08.690999,174608.59375,42.3372879028,N,-71.0869445801,W,0.00499999988824,328076.115333,4689335.07671,19,T,5.0
2020/02/26/12:46:09.299451,174609.203125,42.3372879028,N,-71.0869445801,W,0.00499999988824,328076.118879,4689335.08125,19,T,5.0
2020/02/26/12:46:10.913027,174610.796875,42.3372879028,N,-71.0869445801,W,-0.035000000149,328076.165666,4689335.11788,19,T,5.0
2020/02/26/12:46:11.494224,174611.40625,42.3372879028,N,-71.0869445801,W,-0.0230000000447,328076.164576,4689335.16865,19,T,5.0
2020/02/26/12:46:11.701442,174611.59375,42.3372879028,N,-71.0869445801,W,0.0689999982715,328076.173984,4689335.08175,19,T,5.0
2020/02/26/12:46:11.895765,174611.796875,42.3372879028,N,-71.0869445801,W,0.0869999974966,328076.172965,4689335.07381,19,T,5.0
2020/02/26/12:46:12.098305,174612.0,42.3372840881,N,-71.0869445801,W,0.0960000008345,328076.180027,4689335.05364,19,T,5.0
2020/02/26/12:46:12.291789,174612.203125,42.3372840881,N,-71.0869445801,W,0.108000002801,328076.181326,4689335.0562,19,T,5.0
2020/02/26/12:46:12.497667,174612.40625,42.3372840881,N,-71.0869445801,W,0.119999997318,328076.182727,4689335.05172,19,T,5.0
2020/02/26/12:46:12.697711,174612.59375,42.3372840881,N,-71.0869445801,W,0.108999997377,328076.175197,4689335.05839,19,T,5.0
2020/02/26/12:46:12.897265,174612.796875,42.3372879028,N,-71.0869445801,W,0.0939999967813,328076.166173,4689335.07694,19,T,5.0
2020/02/26/12:46:13.091509,174613.0,42.3372879028,N,-71.0869445801,W,0.0949999988079,328076.165222,4689335.07178,19,T,5.0
2020/02/26/12:46:13.289493,174613.203125,42.3372879028,N,-71.0869445801,W,0.0860000029206,328076.157665,4689335.07178,19,T,5.0
2020/02/26/12:46:13.501950,174613.40625,42.3372879028,N,-71.0869445801,W,0.0869999974966,328076.154195,4689335.07594,19,T,5.0
2020/02/26/12:46:13.700301,174613.59375,42.3372879028,N,-71.0869445801,W,0.0930000022054,328076.15159,4689335.08175,19,T,5.0
2020/02/26/12:46:13.895682,174613.796875,42.3372879028,N,-71.0869445801,W,0.0900000035763,328076.149267,4689335.09347,19,T,5.0
2020/02/26/12:46:14.114469,174614.0,42.3372879028,N,-71.0869445801,W,0.0810000002384,328076.125521,4689335.12238,19,T,5.0
2020/02/26/12:46:14.287867,174614.203125,42.3372879028,N,-71.0869445801,W,0.0869999974966,328076.1338,4689335.10144,19,T,5.0
2020/02/26/12:46:14.491026,174614.40625,42.3372879028,N,-71.0869445801,W,0.0860000029206,328076.125278,4689335.10128,19,T,5.0
2020/02/26/12:46:14.721350,174614.59375,42.3372879028,N,-71.0869445801,W,0.082999996841,328076.114997,4689335.10783,19,T,5.0
2020/02/26/12:46:14.892027,174614.796875,42.3372879028,N,-71.0869445801,W,0.10000000149,328076.110453,4689335.12979,19,T,5.0
2020/02/26/12:46:15.095681,174615.0,42.3372879028,N,-71.0869445801,W,0.107000000775,328076.099521,4689335.14339,19,T,5.0
2020/02/26/12:46:15.705797,174615.59375,42.3372879028,N,-71.0869445801,W,0.107000000775,328076.047768,4689335.17874,19,T,5.0
2020/02/26/12:46:16.292706,174616.203125,42.3372879028,N,-71.0869522095,W,0.125,328076.003167,4689335.24798,19,T,5.0
2020/02/26/12:46:16.485995,174616.40625,42.3372879028,N,-71.0869522095,W,0.144999995828,328075.994179,4689335.26801,19,T,5.0
2020/02/26/12:46:17.096593,174617.0,42.3372879028,N,-71.0869522095,W,0.17499999702,328075.968915,4689335.34141,19,T,5.0
2020/02/26/12:46:17.688165,174617.59375,42.3372879028,N,-71.0869522095,W,0.204999998212,328075.925988,4689335.41728,19,T,5.0
2020/02/26/12:46:18.296206,174618.203125,42.3372879028,N,-71.0869522095,W,0.233999997377,328075.881785,4689335.48595,19,T,5.0
2020/02/26/12:46:18.891983,174618.796875,42.3372917175,N,-71.0869522095,W,0.252999991179,328075.834011,4689335.56583,19,T,5.0
2020/02/26/12:46:19.495251,174619.40625,42.3372917175,N,-71.0869522095,W,0.280000001192,328075.782851,4689335.65893,19,T,5.0
2020/02/26/12:46:21.091364,174621.0,42.3372917175,N,-71.0869522095,W,0.370999991894,328075.656214,4689335.90111,19,T,5.0
2020/02/26/12:46:21.690593,174621.59375,42.3372955322,N,-71.0869522095,W,0.391999989748,328075.608247,4689335.98432,19,T,5.0
2020/02/26/12:46:22.490889,174622.40625,42.3372955322,N,-71.0869522095,W,0.397000014782,328075.55573,4689335.99413,19,T,5.0
2020/02/26/12:46:23.093284,174623.0,42.3372955322,N,-71.0869522095,W,0.499000012875,328075.785231,4689336.04702,19,T,5.0
2020/02/26/12:46:23.687196,174623.59375,42.3372955322,N,-71.0869522095,W,0.566999971867,328075.752794,4689336.22559,19,T,5.0
2020/02/26/12:46:24.298758,174624.203125,42.3372955322,N,-71.0869522095,W,0.666999995708,328075.7108,4689336.32828,19,T,5.0
2020/02/26/12:46:24.901602,174624.796875,42.3372993469,N,-71.0869522095,W,0.722999989986,328075.685513,4689336.44557,19,T,5.0
2020/02/26/12:46:25.492276,174625.40625,42.3372993469,N,-71.0869522095,W,0.740000009537,328075.673828,4689336.49567,19,T,5.0
2020/02/26/12:46:26.102628,174626.0,42.3372993469,N,-71.0869522095,W,0.769999980927,328075.650733,4689336.54549,19,T,5.0
2020/02/26/12:46:26.697246,174626.59375,42.3372993469,N,-71.0869522095,W,0.805999994278,328075.62899,4689336.63362,19,T,5.0
