time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.fix_style,.altitude,.utm_easting,.utm_northing,.Zone,.fields
2020/02/25/17:21:45.058763,337,1582669305,58182954,,42.3371391296,-71.0906982422,5.0,4.23999977112,327766.625,4689326.5,19,T
2020/02/25/17:21:47.001445,338,1582669307,818967,,42.3371391296,-71.0906982422,5.0,4.28299999237,327766.9375,4689326.5,19,T
2020/02/25/17:21:48.766996,339,1582669308,766563892,,42.3371391296,-71.0906906128,5.0,4.28200006485,327767.21875,4689326.5,19,T
2020/02/25/17:21:50.531388,340,1582669310,530925989,,42.3371391296,-71.0906906128,5.0,4.28299999237,327767.5,4689326.5,19,T
2020/02/25/17:21:52.296298,341,1582669312,295654058,,42.3371391296,-71.0906829834,5.0,4.36899995804,327767.75,4689326.5,19,T
2020/02/25/17:21:54.061694,342,1582669314,61042070,,42.3371391296,-71.0906829834,5.0,4.49700021744,327768.03125,4689326.5,19,T
2020/02/25/17:21:56.005963,343,1582669316,5285978,,42.3371429443,-71.090675354,5.0,4.48299980164,327768.34375,4689326.5,19,T
2020/02/25/17:21:56.359928,344,1582669316,359287977,,42.3371620178,-71.0903396606,5.0,2.45300006866,327796.28125,4689328.0,19,T
2020/02/25/17:21:58.122894,345,1582669318,122638940,,42.3371620178,-71.0903396606,5.0,2.34899997711,327796.3125,4689328.0,19,T
2020/02/25/17:22:01.294872,346,1582669321,294210910,,42.3371658325,-71.0903396606,5.0,2.69600009918,327796.40625,4689328.5,19,T
2020/02/25/17:22:02.353830,347,1582669322,353416919,,42.3371658325,-71.0903396606,5.0,2.47000002861,327796.46875,4689328.5,19,T
2020/02/25/17:22:04.119929,348,1582669324,119323968,,42.3371658325,-71.0903396606,5.0,3.01799988747,327796.4375,4689328.5,19,T
2020/02/25/17:22:06.059592,349,1582669326,59335947,,42.3371696472,-71.0903396606,5.0,3.09100008011,327796.40625,4689329.0,19,T
2020/02/25/17:22:08.002273,350,1582669328,1554965,,42.3371696472,-71.0903396606,5.0,2.81699991226,327796.4375,4689329.0,19,T
2020/02/25/17:22:09.943065,351,1582669329,942733049,,42.3371696472,-71.0903396606,5.0,2.72300004959,327796.5,4689329.0,19,T
2020/02/25/17:22:11.883243,352,1582669331,882558107,,42.3371696472,-71.0903396606,5.0,2.66899991035,327796.53125,4689329.0,19,T
2020/02/25/17:22:13.818597,353,1582669333,817863941,,42.3371696472,-71.0903396606,5.0,2.625,327796.53125,4689329.0,19,T
2020/02/25/17:22:15.756831,354,1582669335,756140947,,42.3371696472,-71.0903396606,5.0,2.60299992561,327796.5625,4689329.0,19,T
2020/02/25/17:22:17.697229,355,1582669337,696533918,,42.3371696472,-71.0903396606,5.0,2.48900008202,327796.5625,4689329.0,19,T
2020/02/25/17:22:19.635954,356,1582669339,635389089,,42.3371696472,-71.0903320312,5.0,2.54399991035,327796.65625,4689329.0,19,T
2020/02/25/17:22:21.398179,357,1582669341,397566080,,42.3371696472,-71.0903320312,5.0,2.57299995422,327796.65625,4689329.0,19,T
2020/02/25/17:22:23.164509,358,1582669343,163870096,,42.3371696472,-71.0903320312,5.0,2.62700009346,327796.65625,4689329.0,19,T
2020/02/25/17:22:25.106174,359,1582669345,105540990,,42.3371696472,-71.0903320312,5.0,2.55999994278,327796.71875,4689329.0,19,T
2020/02/25/17:22:27.049067,360,1582669347,48377990,,42.3371696472,-71.0903320312,5.0,2.32399988174,327796.8125,4689329.0,19,T
2020/02/25/17:22:28.990016,361,1582669348,989411115,,42.3371696472,-71.0903320312,5.0,2.29800009727,327796.8125,4689329.0,19,T
2020/02/25/17:22:30.929983,362,1582669350,929366111,,42.3371696472,-71.0903320312,5.0,2.42100000381,327796.84375,4689329.0,19,T
2020/02/25/17:22:32.691154,363,1582669352,690882921,,42.3371696472,-71.0903320312,5.0,2.31500005722,327796.84375,4689329.0,19,T
2020/02/25/17:22:34.454357,364,1582669354,453682899,,42.3371658325,-71.0903320312,5.0,2.12700009346,327796.84375,4689329.0,19,T
2020/02/25/17:22:36.397607,365,1582669356,396915912,,42.3371696472,-71.0903320312,5.0,2.07100009918,327796.84375,4689329.0,19,T
