time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.fix_style,.altitude,.utm_easting,.utm_northing,.Zone,.fields
2020/02/26/14:26:49.870118,6,1582745209,869199037,,42.3423805237,-71.0941085815,4.0,-2.42700004578,327500.15625,4689915.0,19,T
2020/02/26/14:26:51.814749,7,1582745211,813807964,,42.3423805237,-71.0941085815,5.0,-2.28099989891,327500.1875,4689915.0,19,T
2020/02/26/14:26:53.762108,8,1582745213,761660099,,42.3423805237,-71.0941085815,4.0,-2.43899989128,327500.1875,4689915.5,19,T
2020/02/26/14:26:55.708099,9,1582745215,706135034,,42.3423805237,-71.0941085815,4.0,-2.46799993515,327500.1875,4689915.5,19,T
2020/02/26/14:26:57.654123,10,1582745217,651319980,,42.3423805237,-71.0941085815,4.0,-2.47499990463,327500.1875,4689915.5,19,T
2020/02/26/14:26:59.597612,11,1582745219,595088958,,42.3423805237,-71.0941085815,4.0,-2.46000003815,327500.1875,4689915.5,19,T
2020/02/26/14:27:01.539227,12,1582745221,537759065,,42.3423805237,-71.0941085815,5.0,-2.35199999809,327500.15625,4689915.5,19,T
2020/02/26/14:27:03.660467,13,1582745223,659991979,,42.3423805237,-71.0941085815,5.0,-2.27200007439,327500.15625,4689915.5,19,T
2020/02/26/14:27:05.782204,14,1582745225,781238079,,42.3423805237,-71.0941085815,5.0,-2.25200009346,327500.1875,4689915.5,19,T
2020/02/26/14:27:07.899254,15,1582745227,898926973,,42.3423805237,-71.0941085815,5.0,-2.24099993706,327500.21875,4689915.0,19,T
2020/02/26/14:27:09.846367,16,1582745229,843657016,,42.3423805237,-71.0941085815,5.0,-2.25600004196,327500.25,4689915.0,19,T
2020/02/26/14:27:11.790025,17,1582745231,789377927,,42.3423805237,-71.0941085815,5.0,-2.25200009346,327500.25,4689915.0,19,T
2020/02/26/14:27:13.745679,18,1582745233,745249986,,42.3423805237,-71.0941085815,5.0,-2.22399997711,327500.28125,4689915.0,19,T
2020/02/26/14:27:15.694762,19,1582745235,692653894,,42.342376709,-71.0941085815,5.0,-2.18000006676,327500.25,4689915.0,19,T
2020/02/26/14:27:17.825627,20,1582745237,822505950,,42.342376709,-71.0941085815,5.0,-2.19400000572,327500.28125,4689915.0,19,T
2020/02/26/14:27:19.947752,21,1582745239,947280883,,42.342376709,-71.0941085815,5.0,-2.19600009918,327500.25,4689915.0,19,T
2020/02/26/14:27:22.081039,22,1582745242,79371929,,42.342376709,-71.0941085815,5.0,-2.20900011063,327500.28125,4689915.0,19,T
2020/02/26/14:27:24.214461,23,1582745244,212492942,,42.3422737122,-71.0941238403,4.0,-0.977999985218,327498.65625,4689903.0,19,T
2020/02/26/14:27:26.341979,24,1582745246,341202974,,42.3422698975,-71.0941238403,4.0,-0.972000002861,327498.46875,4689903.0,19,T
2020/02/26/14:27:28.468417,25,1582745248,467513084,,42.3422698975,-71.0941238403,4.0,-0.994000017643,327498.3125,4689903.0,19,T
2020/02/26/14:27:30.601634,26,1582745250,600748062,,42.3422660828,-71.0941314697,4.0,-0.973999977112,327498.09375,4689903.0,19,T
2020/02/26/14:27:32.731719,27,1582745252,730446100,,42.3422660828,-71.0941314697,4.0,-0.959999978542,327497.9375,4689902.5,19,T
2020/02/26/14:27:34.855362,28,1582745254,853621959,,42.3422622681,-71.0941314697,4.0,-1.00100004673,327497.78125,4689902.5,19,T
2020/02/26/14:27:36.974524,29,1582745256,974117994,,42.3422622681,-71.0941314697,4.0,-0.945999979973,327497.5625,4689902.0,19,T
2020/02/26/14:27:39.094340,30,1582745259,93213081,,42.3422622681,-71.0941390991,4.0,-0.92199999094,327497.375,4689902.0,19,T
2020/02/26/14:27:41.212022,31,1582745261,211426973,,42.3422584534,-71.0941390991,4.0,-0.921000003815,327497.1875,4689902.0,19,T
2020/02/26/14:27:43.335259,32,1582745263,330200910,,42.3422584534,-71.0941390991,4.0,-0.894999980927,327497.0,4689901.5,19,T
2020/02/26/14:27:45.451369,33,1582745265,450347900,,42.3422546387,-71.0941467285,4.0,-0.902000010014,327496.875,4689901.5,19,T
2020/02/26/14:27:47.571793,34,1582745267,570853948,,42.3422546387,-71.0941467285,4.0,-0.920000016689,327496.6875,4689901.5,19,T
2020/02/26/14:27:49.694241,35,1582745269,693878889,,42.3422546387,-71.0941467285,4.0,-0.92199999094,327496.46875,4689901.0,19,T
2020/02/26/14:27:51.828284,36,1582745271,827049970,,42.342250824,-71.0941467285,4.0,-0.930999994278,327496.28125,4689901.0,19,T
2020/02/26/14:27:53.949930,37,1582745273,949441909,,42.342250824,-71.0941543579,4.0,-0.93900001049,327496.0625,4689901.0,19,T
2020/02/26/14:27:56.069998,38,1582745276,68900108,,42.342250824,-71.0941543579,4.0,-0.929000020027,327495.875,4689901.0,19,T
2020/02/26/14:27:58.201984,39,1582745278,200772047,,42.3422470093,-71.0941543579,4.0,-0.962999999523,327495.6875,4689900.5,19,T
2020/02/26/14:27:58.557551,40,1582745278,557197093,,42.3423652649,-71.0944061279,1.0,-1.11199998856,327475.53125,4689914.0,19,T
2020/02/26/14:28:00.323298,41,1582745280,322786092,,42.3423690796,-71.0944061279,1.0,-1.2460000515,327475.5,4689914.5,19,T
2020/02/26/14:28:02.092219,42,1582745282,89721918,,42.3423690796,-71.0944061279,5.0,-1.31599998474,327475.46875,4689915.0,19,T
2020/02/26/14:28:03.861141,43,1582745283,858447074,,42.342376709,-71.0944213867,5.0,-1.36300003529,327474.34375,4689915.5,19,T
2020/02/26/14:28:06.343013,44,1582745286,340401887,,42.3423805237,-71.0944137573,5.0,-0.746999979019,327475.03125,4689916.0,19,T
2020/02/26/14:28:08.111205,45,1582745288,109431028,,42.3423843384,-71.0944137573,5.0,-0.68599998951,327474.96875,4689916.0,19,T
2020/02/26/14:28:11.288976,46,1582745291,286700010,,42.3423957825,-71.0944290161,1.0,-2.55900001526,327473.875,4689917.5,19,T
2020/02/26/14:28:13.412524,47,1582745293,410820007,,42.3423690796,-71.0944213867,5.0,-8.6639995575,327474.28125,4689915.0,19,T
2020/02/26/14:28:14.829897,48,1582745294,829303979,,42.3424034119,-71.0944442749,5.0,-4.4439997673,327472.5625,4689918.5,19,T
2020/02/26/14:28:17.307738,49,1582745297,305995941,,42.342414856,-71.0944519043,5.0,-4.64400005341,327471.96875,4689919.5,19,T
2020/02/26/14:28:19.075816,50,1582745299,74317932,,42.342414856,-71.0944519043,1.0,-4.61999988556,327472.0,4689920.0,19,T
2020/02/26/14:28:20.841629,51,1582745300,841217994,,42.3424186707,-71.0944519043,1.0,-4.58799982071,327472.0625,4689920.0,19,T
2020/02/26/14:28:23.310255,52,1582745303,309313058,,42.3424377441,-71.0944595337,5.0,-3.49799990654,327471.1875,4689922.5,19,T
2020/02/26/14:28:26.305773,53,1582745306,305366992,,42.3424530029,-71.0944747925,1.0,-4.84100008011,327469.875,4689924.0,19,T
2020/02/26/14:28:28.421998,54,1582745308,419992923,,42.342464447,-71.0944824219,5.0,-3.73200011253,327469.53125,4689925.5,19,T
2020/02/26/14:28:30.185601,55,1582745310,185179948,,42.3424682617,-71.0944824219,5.0,-3.50699996948,327469.4375,4689926.0,19,T
2020/02/26/14:28:31.954659,56,1582745311,953675031,,42.3424720764,-71.0944824219,5.0,-3.4470000267,327469.375,4689926.0,19,T
2020/02/26/14:28:33.896751,57,1582745313,895102024,,42.3424720764,-71.0944824219,1.0,-3.03999996185,327469.375,4689926.5,19,T
2020/02/26/14:28:35.670011,58,1582745315,666924953,,42.3424758911,-71.0944824219,1.0,-3.32899999619,327469.3125,4689926.5,19,T
2020/02/26/14:28:37.438275,59,1582745317,437094926,,42.3424758911,-71.0944824219,1.0,-3.45399999619,327469.28125,4689926.5,19,T
2020/02/26/14:28:39.917249,60,1582745319,916800975,,42.3424758911,-71.0944900513,5.0,-4.30100011826,327469.125,4689926.5,19,T
2020/02/26/14:28:41.869568,61,1582745321,867815971,,42.3424797058,-71.0944900513,5.0,-4.43400001526,327469.09375,4689927.0,19,T
2020/02/26/14:28:43.639343,62,1582745323,638134002,,42.3424797058,-71.0944900513,5.0,-4.28399991989,327469.0625,4689927.0,19,T
2020/02/26/14:28:45.589101,63,1582745325,587640047,,42.3424835205,-71.0944900513,5.0,-4.46099996567,327468.9375,4689927.5,19,T
2020/02/26/14:28:47.357535,64,1582745327,357264041,,42.3424835205,-71.0944900513,5.0,-4.59800004959,327468.84375,4689927.5,19,T
2020/02/26/14:28:48.947196,65,1582745328,946542978,,42.3424835205,-71.0944900513,5.0,-4.9310002327,327468.875,4689927.5,19,T
2020/02/26/14:28:49.303970,66,1582745329,303378105,,42.3423347473,-71.0948867798,5.0,-3.93700003624,327435.78125,4689912.0,19,T
2020/02/26/14:28:50.899660,67,1582745330,899142980,,42.3423347473,-71.0948867798,5.0,-3.93000006676,327435.5625,4689911.5,19,T
2020/02/26/14:28:52.488408,68,1582745332,488084077,,42.3423309326,-71.0948944092,5.0,-3.86400008202,327435.3125,4689911.5,19,T
2020/02/26/14:28:54.088212,69,1582745334,87333917,,42.3423309326,-71.0948944092,5.0,-3.81900000572,327435.0625,4689911.5,19,T
2020/02/26/14:28:55.686855,70,1582745335,686503887,,42.3423271179,-71.0949020386,5.0,-3.83200001717,327434.875,4689911.0,19,T
2020/02/26/14:28:57.280465,71,1582745337,279321908,,42.3423271179,-71.0949020386,5.0,-3.83999991417,327434.6875,4689911.0,19,T
2020/02/26/14:28:58.875518,72,1582745338,871026992,,42.3423271179,-71.0949020386,5.0,-3.79500007629,327434.46875,4689911.0,19,T
2020/02/26/14:29:00.814965,73,1582745340,813744068,,42.3423233032,-71.0949020386,5.0,-3.73900008202,327434.25,4689910.5,19,T
2020/02/26/14:29:02.407231,74,1582745342,405586004,,42.3423233032,-71.094909668,5.0,-3.7009999752,327434.0625,4689910.5,19,T
2020/02/26/14:29:03.996620,75,1582745343,995249032,,42.3423194885,-71.094909668,5.0,-3.71399998665,327433.875,4689910.0,19,T
2020/02/26/14:29:05.590143,76,1582745345,589673995,,42.3423156738,-71.094909668,5.0,-3.71799993515,327433.71875,4689910.0,19,T
2020/02/26/14:29:07.188831,77,1582745347,185683012,,42.3423156738,-71.0949172974,5.0,-3.74900007248,327433.5625,4689909.5,19,T
2020/02/26/14:29:08.782578,78,1582745348,782007932,,42.3423118591,-71.0949172974,5.0,-3.79600000381,327433.375,4689909.5,19,T
2020/02/26/14:29:10.377684,79,1582745350,376517057,,42.3423118591,-71.0949172974,5.0,-3.75699996948,327433.1875,4689909.0,19,T
2020/02/26/14:29:11.974399,80,1582745351,973922014,,42.3423080444,-71.0949172974,5.0,-3.73200011253,327432.96875,4689909.0,19,T
2020/02/26/14:29:13.565605,81,1582745353,565282106,,42.3423080444,-71.0949249268,5.0,-3.70799994469,327432.78125,4689908.5,19,T
2020/02/26/14:29:15.159596,82,1582745355,158370018,,42.3423042297,-71.0949249268,5.0,-3.75099992752,327432.5625,4689908.5,19,T
2020/02/26/14:29:16.756621,83,1582745356,756289005,,42.3423042297,-71.0949249268,5.0,-3.72199988365,327432.3125,4689908.5,19,T
2020/02/26/14:29:18.357172,84,1582745358,355828046,,42.342300415,-71.0949325562,5.0,-3.6970000267,327432.09375,4689908.0,19,T
2020/02/26/14:29:19.958004,85,1582745359,957612037,,42.3422966003,-71.0949325562,5.0,-3.70700001717,327431.84375,4689908.0,19,T
2020/02/26/14:29:21.552650,86,1582745361,551048994,,42.3420753479,-71.0953598022,5.0,-2.03299999237,327396.15625,4689884.0,19,T
2020/02/26/14:29:23.145822,87,1582745363,144768953,,42.3420753479,-71.0953598022,5.0,-2.08200001717,327395.875,4689883.5,19,T
2020/02/26/14:29:24.733273,88,1582745364,732930898,,42.3420715332,-71.0953674316,5.0,-2.21600008011,327395.59375,4689883.5,19,T
2020/02/26/14:29:26.326976,89,1582745366,326709985,,42.3420715332,-71.0953674316,5.0,-2.22099995613,327395.28125,4689883.5,19,T
2020/02/26/14:29:27.927153,90,1582745367,926677942,,42.3420715332,-71.095375061,5.0,-2.23399996758,327395.03125,4689883.5,19,T
2020/02/26/14:29:29.523640,91,1582745369,521372079,,42.3420677185,-71.095375061,5.0,-2.26600003242,327394.8125,4689883.0,19,T
2020/02/26/14:29:31.108404,92,1582745371,108074903,,42.3420677185,-71.0953826904,5.0,-2.31599998474,327394.5625,4689883.0,19,T
2020/02/26/14:29:32.703205,93,1582745372,701812028,,42.3420639038,-71.0953826904,5.0,-2.37599992752,327394.28125,4689883.0,19,T
2020/02/26/14:29:34.296383,94,1582745374,294434070,,42.3420639038,-71.0953826904,5.0,-2.38100004196,327394.03125,4689883.0,19,T
2020/02/26/14:29:35.895776,95,1582745375,887742996,,42.3420639038,-71.0953903198,5.0,-2.41400003433,327393.71875,4689882.5,19,T
2020/02/26/14:29:37.479286,96,1582745377,478882074,,42.3420600891,-71.0953903198,5.0,-2.24499988556,327393.375,4689882.5,19,T
2020/02/26/14:29:39.067400,97,1582745379,66293954,,42.3420600891,-71.0953979492,5.0,-2.19799995422,327393.09375,4689882.5,19,T
2020/02/26/14:29:40.660612,98,1582745380,659627914,,42.3420600891,-71.0953979492,5.0,-2.23600006104,327392.84375,4689882.0,19,T
2020/02/26/14:29:42.256647,99,1582745382,254196882,,42.3420562744,-71.0954055786,5.0,-2.36100006104,327392.625,4689882.0,19,T
2020/02/26/14:29:43.852587,100,1582745383,851632118,,42.3420562744,-71.0954055786,5.0,-2.40400004387,327392.375,4689882.0,19,T
2020/02/26/14:29:45.451698,101,1582745385,449457883,,42.3420562744,-71.0954055786,5.0,-2.35100007057,327392.09375,4689881.5,19,T
2020/02/26/14:29:47.043860,102,1582745387,42299032,,42.3420524597,-71.095413208,5.0,-2.27500009537,327391.84375,4689881.5,19,T
2020/02/26/14:29:48.635641,103,1582745388,635255098,,42.3420524597,-71.095413208,5.0,-2.2539999485,327391.625,4689881.5,19,T
2020/02/26/14:29:50.233001,104,1582745390,231986999,,42.342048645,-71.0954208374,5.0,-2.242000103,327391.34375,4689881.0,19,T
2020/02/26/14:29:51.831376,105,1582745391,829667091,,42.342048645,-71.0954208374,5.0,-2.28099989891,327391.15625,4689881.0,19,T
2020/02/26/14:29:53.423619,106,1582745393,422044038,,42.3420448303,-71.0954208374,5.0,-2.37199997902,327390.96875,4689881.0,19,T
2020/02/26/14:29:55.901614,107,1582745395,901177883,,42.3417053223,-71.0952072144,5.0,-1.92700004578,327407.5625,4689842.5,19,T
2020/02/26/14:29:57.143125,108,1582745397,141496896,,42.3417015076,-71.0952072144,5.0,-1.94900000095,327407.71875,4689842.5,19,T
2020/02/26/14:29:58.380918,109,1582745398,380594015,,42.3417015076,-71.0952072144,5.0,-1.92200005054,327407.90625,4689842.0,19,T
